Location|Position|Local Time|Conditions|Temperature|Pressure|Humidity
Anchorage|61.22,-149.9,33|2013-05-17T00:15:09|Rain|7.0|1009.4|67
Rome|41.9,12.5,52|2002-03-28T12:35:37|Sunny|16.2|1024.8|77
Montreal|45.5,-73.57,35|1990-01-18T15:35:55|Snow|-3.3|1018.9|82
Melbourne|-37.81,144.96,10|2005-09-23T19:28:45|Rain|20.2|1010.3|59
Moscow|55.76,37.62,151|2016-07-07T01:03:41|Sunny|21.0|1009.6|85
Munich|48.14,11.58,514|1998-02-13T04:19:47|Rain|3.9|1024.1|84
Sydney|-33.87,151.21,24|2016-04-26T09:22:50|Rain|20.0|1026.5|71
Montreal|45.5,-73.57,35|1996-01-31T10:32:24|Snow|-3.2|1020.2|83
Montreal|45.5,-73.57,35|1995-08-12T13:53:18|Sunny|18.2|1010.9|72
Anchorage|61.22,-149.9,33|1994-09-28T00:09:05|Sunny|9.0|1005.3|88
Paris|48.86,2.35,32|2009-09-22T17:10:54|Sunny|16.0|1016.3|74
Stockholm|59.33,18.07,19|1996-08-28T06:58:20|Rain|15.3|1007.2|73
Shanghai|31.23,121.47,15|2004-11-24T16:02:40|Sunny|15.6|1022.3|77
Miami|25.76,-80.19,0|1992-04-13T13:11:18|Rain|22.1|1017.6|50
London|51.51,-0.13,7|2011-06-17T18:02:02|Rain|22.2|1017.5|67
Anchorage|61.22,-149.9,33|1996-11-22T09:22:24|Sunny|-8.9|1008.1|83
Moscow|55.76,37.62,151|2004-06-20T10:53:02|Sunny|13.5|1004.0|67
Munich|48.14,11.58,514|2016-07-14T22:29:09|Rain|16.1|1016.3|79
Stockholm|59.33,18.07,19|2007-08-02T05:05:50|Rain|15.9|1007.8|76
Melbourne|-37.81,144.96,10|2012-09-22T09:42:19|Sunny|13.1|999.0|45
